## schema based on version 2.11.0,
## directly checked out from https://github.com/CanDIG/katsu.git, commit 7d252e9e7ea6cabc77b265946c1e880b7e766dd0
## mcodepacket element, description (overwrite with mapped element)
## (.0 is an array element) (* is required) (+ denotes ontology term),
##cancer_related_procedures.0,"##Description of radiological treatment or surgical action addressing a cancer condition."
cancer_related_procedures.0.id*,"##An arbitrary identifier for the procedure."
cancer_related_procedures.0.procedure_type*,"##Type of cancer related procedure: radiation or surgical."
cancer_related_procedures.0.code*+,"##Code for the procedure performed."
##cancer_related_procedures.0.body_site,"##The body location(s) where the procedure was performed."
cancer_related_procedures.0.body_site.0+,"##An ontology term."
cancer_related_procedures.0.laterality+,"##Body side of the body location, if needed to distinguish from a similar location on the other side of the body."
cancer_related_procedures.0.treatment_intent+,"##The purpose of a treatment."
cancer_related_procedures.0.reason_code+,"##The explanation or justification for why the surgical procedure was performed."
##cancer_related_procedures.0.reason_reference,"##Reference to a primary or secondary cancer condition."
cancer_related_procedures.0.reason_reference.0,
cancer_related_procedures.0.extra_properties,
##medication_statement,"##Medication treatment addressed to an Individual."
##medication_statement.0,"##Description of medication use."
medication_statement.0.id*,"##An arbitrary identifier for the medication statement."
medication_statement.0.medication_code*+,"##A code for medication. Accepted code systems: Medication Clinical Drug (RxNorm) and other."
##medication_statement.0.termination_reason,"##A code explaining unplanned or premature termination of a course of medication. Accepted ontologies: SNOMED CT."
medication_statement.0.termination_reason.0+,"##An ontology term."
medication_statement.0.treatment_intent+,"##The purpose of a treatment. Accepted ontologies: SNOMED CT."
medication_statement.0.start_date,"##The start date/time of the medication."
medication_statement.0.end_date,"##The end date/time of the medication."
medication_statement.0.extra_properties,
date_of_death,"##An indication that the patient is no longer living, given by a date of death or boolean."
##tumor_marker,"##A description of tests performed on patient."
##tumor_marker.0,"##A description of tests performed on patient."
tumor_marker.0.id*,"##An arbitrary identifier for the labs/vital tests."
tumor_marker.0.individual*,"##The individual who is the subject of the tests."
tumor_marker.0.tumor_marker_code*+,"##A code identifying the type of tumor marker test."
##tumor_marker.0.tumor_marker_data_value,"##The result of a tumor marker test."
tumor_marker.0.tumor_marker_data_value.value,
tumor_marker.0.extra_properties,
cancer_disease_status+,"##A clinician's qualitative judgment on the current trend of the cancer, e.g., whether it is stable, worsening (progressing), or improving (responding)."
extra_properties,
